	individual	replicate	well	batch	sample_id
366	NA19239	r1	B07	NA19239.r1	NA19239.r1.B07
367	NA19239	r1	B08	NA19239.r1	NA19239.r1.B08
368	NA19239	r1	B09	NA19239.r1	NA19239.r1.B09
369	NA19239	r1	B10	NA19239.r1	NA19239.r1.B10
370	NA19239	r1	B11	NA19239.r1	NA19239.r1.B11
371	NA19239	r1	B12	NA19239.r1	NA19239.r1.B12
372	NA19239	r1	C01	NA19239.r1	NA19239.r1.C01
373	NA19239	r1	C02	NA19239.r1	NA19239.r1.C02
374	NA19239	r1	C03	NA19239.r1	NA19239.r1.C03
375	NA19239	r1	C05	NA19239.r1	NA19239.r1.C05
376	NA19239	r1	C06	NA19239.r1	NA19239.r1.C06
377	NA19239	r1	C08	NA19239.r1	NA19239.r1.C08
378	NA19239	r1	C09	NA19239.r1	NA19239.r1.C09
379	NA19239	r1	C10	NA19239.r1	NA19239.r1.C10
380	NA19239	r1	C11	NA19239.r1	NA19239.r1.C11
381	NA19239	r1	C12	NA19239.r1	NA19239.r1.C12
382	NA19239	r1	D01	NA19239.r1	NA19239.r1.D01
383	NA19239	r1	D02	NA19239.r1	NA19239.r1.D02
384	NA19239	r1	D03	NA19239.r1	NA19239.r1.D03
385	NA19239	r1	D04	NA19239.r1	NA19239.r1.D04
386	NA19239	r1	D05	NA19239.r1	NA19239.r1.D05
387	NA19239	r1	D06	NA19239.r1	NA19239.r1.D06
388	NA19239	r1	D08	NA19239.r1	NA19239.r1.D08
389	NA19239	r1	D09	NA19239.r1	NA19239.r1.D09
390	NA19239	r1	D10	NA19239.r1	NA19239.r1.D10
391	NA19239	r1	D11	NA19239.r1	NA19239.r1.D11
392	NA19239	r1	D12	NA19239.r1	NA19239.r1.D12
393	NA19239	r1	E01	NA19239.r1	NA19239.r1.E01
394	NA19239	r1	E02	NA19239.r1	NA19239.r1.E02
395	NA19239	r1	E03	NA19239.r1	NA19239.r1.E03
396	NA19239	r1	E04	NA19239.r1	NA19239.r1.E04
397	NA19239	r1	E06	NA19239.r1	NA19239.r1.E06
398	NA19239	r1	E07	NA19239.r1	NA19239.r1.E07
399	NA19239	r1	E08	NA19239.r1	NA19239.r1.E08
400	NA19239	r1	E09	NA19239.r1	NA19239.r1.E09
401	NA19239	r1	E10	NA19239.r1	NA19239.r1.E10
402	NA19239	r1	E11	NA19239.r1	NA19239.r1.E11
403	NA19239	r1	E12	NA19239.r1	NA19239.r1.E12
404	NA19239	r1	F01	NA19239.r1	NA19239.r1.F01
405	NA19239	r1	F02	NA19239.r1	NA19239.r1.F02
406	NA19239	r1	F03	NA19239.r1	NA19239.r1.F03
407	NA19239	r1	F04	NA19239.r1	NA19239.r1.F04
408	NA19239	r1	F06	NA19239.r1	NA19239.r1.F06
409	NA19239	r1	F07	NA19239.r1	NA19239.r1.F07
410	NA19239	r1	F08	NA19239.r1	NA19239.r1.F08
411	NA19239	r1	F09	NA19239.r1	NA19239.r1.F09
412	NA19239	r1	F10	NA19239.r1	NA19239.r1.F10
413	NA19239	r1	F12	NA19239.r1	NA19239.r1.F12
414	NA19239	r1	G01	NA19239.r1	NA19239.r1.G01
415	NA19239	r1	G02	NA19239.r1	NA19239.r1.G02
416	NA19239	r1	G03	NA19239.r1	NA19239.r1.G03
417	NA19239	r1	G04	NA19239.r1	NA19239.r1.G04
418	NA19239	r1	G06	NA19239.r1	NA19239.r1.G06
419	NA19239	r1	G09	NA19239.r1	NA19239.r1.G09
420	NA19239	r1	G10	NA19239.r1	NA19239.r1.G10
421	NA19239	r1	G11	NA19239.r1	NA19239.r1.G11
422	NA19239	r1	G12	NA19239.r1	NA19239.r1.G12
423	NA19239	r1	H01	NA19239.r1	NA19239.r1.H01
424	NA19239	r1	H03	NA19239.r1	NA19239.r1.H03
425	NA19239	r1	H04	NA19239.r1	NA19239.r1.H04
426	NA19239	r1	H05	NA19239.r1	NA19239.r1.H05
427	NA19239	r1	H06	NA19239.r1	NA19239.r1.H06
428	NA19239	r1	H07	NA19239.r1	NA19239.r1.H07
429	NA19239	r1	H08	NA19239.r1	NA19239.r1.H08
430	NA19239	r1	H09	NA19239.r1	NA19239.r1.H09
431	NA19239	r1	H10	NA19239.r1	NA19239.r1.H10
432	NA19239	r1	H11	NA19239.r1	NA19239.r1.H11
433	NA19239	r2	A01	NA19239.r2	NA19239.r2.A01
434	NA19239	r2	A02	NA19239.r2	NA19239.r2.A02
435	NA19239	r2	A04	NA19239.r2	NA19239.r2.A04
436	NA19239	r2	A05	NA19239.r2	NA19239.r2.A05
437	NA19239	r2	A06	NA19239.r2	NA19239.r2.A06
438	NA19239	r2	A07	NA19239.r2	NA19239.r2.A07
439	NA19239	r2	A08	NA19239.r2	NA19239.r2.A08
440	NA19239	r2	A09	NA19239.r2	NA19239.r2.A09
441	NA19239	r2	A11	NA19239.r2	NA19239.r2.A11
442	NA19239	r2	A12	NA19239.r2	NA19239.r2.A12
443	NA19239	r2	B02	NA19239.r2	NA19239.r2.B02
444	NA19239	r2	B04	NA19239.r2	NA19239.r2.B04
445	NA19239	r2	B05	NA19239.r2	NA19239.r2.B05
446	NA19239	r2	B06	NA19239.r2	NA19239.r2.B06
447	NA19239	r2	B07	NA19239.r2	NA19239.r2.B07
448	NA19239	r2	B08	NA19239.r2	NA19239.r2.B08
449	NA19239	r2	B09	NA19239.r2	NA19239.r2.B09
450	NA19239	r2	B12	NA19239.r2	NA19239.r2.B12
451	NA19239	r2	C02	NA19239.r2	NA19239.r2.C02
452	NA19239	r2	C04	NA19239.r2	NA19239.r2.C04
