NA19098	NA19101	NA19239
ZNF616	RAB31	HSPA4L
RIPK1	DEGS1	TMEM106C
DNAJB1	HS3ST5	PCOLCE2
RALGPS1	SPCS1	PAM16
ATP6V0A1	CHD1L	GOLGB1
DIP2A	CASP10	BTBD17
TMEM115	ZNF280C	SEPT6
FANCD2	NDUFB8	CSE1L
REXO1	BCL11B	RGS12
TMEM30A	ZNF830	SLC26A6
LPP	TMEM108	SMIM11
EIF3H	BACH2	DMPK
ECHDC3	KBTBD3	CNTROB
MAGEF1	ZNF34	BAX
ORC4	ADK	ZNF205
SF3B1	PARP11	TRIM16L
CLIP1	SUMO4	NOSIP
NOTCH1	CLN3	VAPA
ZNF485	PHF10	MYSM1
GPR75-ASB3	PINLYP	GYS1
GAN	EPM2AIP1	METTL15
CCKBR	IL6ST	CEP85L
TJAP1	APPL2	DOK5
SLC25A19	NEO1	UCMA
PIGL	SPIN2A	ZNF256
AKTIP	DAZAP2	RQCD1
ABCD4	FAM155A	TRAF3IP2
COL4A2	ATP5G1	ALDH16A1
OAZ1	CAMKK2	ZFYVE27
TNS3	NOP56	IGSF8
FNIP1	EIF1B	LLGL1
STARD3	MLXIP	MYO1D
CSRP2	ARL4C	TULP3
ZNF77	GCH1	DHTKD1
CLEC11A	SS18L1	SLC9A8
APOE	WTAP	EPS15
GNG5P2	TOR1B	POLR3K
RRM1	RAB38	QPRT
C9orf40	GNG3	DDX25
DNA2	CTDSP1	DTX3
SRP72	YY1	LMAN2L
TBRG4	ZMYND19	CEP57
C9orf41	PPM1D	YTHDF1
ZNF606	CCDC7	RPS28
MAPRE1	SIKE1	AP5B1
RAB25	CCNI	CDCA8
RAB18	PELI1	MPHOSPH10
THAP9	TCTA	FAM135A
TSR2	ZNF664	DKFZP761J1410
CYTL1	JUN	UROS
AVL9	EGLN1	GLI1
GPR180	TMEM223	DPYSL4
MBP	WARS2	CBWD6
TNIK	TSG101	ARHGAP11A
TMEM256	SLC4A7	SLC25A28
CABYR	HLA-C	BRPF1
UBALD2	UBE3B	EIF3D
GNG4	HDAC1	ZNF852
GJA1	NMRK1	SESN3
AAED1	NOP58	MCTP1
VWA9	LYST	STUB1
ATF7IP	KHDRBS1	RABL3
GMEB2	MID1IP1	CDK18
LYAR	ACTR3B	RSL1D1
SAP30BP	ALKBH7	HAPLN4
MAPK8IP3	ZNF764	MURC
SPRY1	CXXC1	EXOSC10
KIAA0556	HPN	EXO1
RRAS2	DNAJC9	ERAP1
HSF1	TSPAN31	CCBE1
MTSS1	NEK8	SCAMP2
FBXO7	KRCC1	C8orf33
ADPRHL2	CHRDL1	FGFR2
RAP1GAP2	PTPN2	SETD1A
AGPAT1	RWDD4	CCSAP
UBQLN4	DEF8	MDM4
COTL1	TERF2IP	NBPF8
TRRAP	PGM3	ZNF589
TMEM184B	ZKSCAN5	GRN
CBR1	ETS1	HYAL2
ARHGEF10	NFYA	FBXL7
VPS11	NARS	PCSK9
NAA38	IDO1	TAF5L
APLP1	RGS2	LMBR1
MRPL51	PLA2G3	TRMT10B
EPCAM	SORBS1	ABCG1
FAHD2A	MITD1	WEE1
HIF1A	UNC50	HEATR3
TYRO3	ERGIC3	HNRNPA1L2
MGMT	SORCS1	APLP1
RDH11	CNOT4	TRUB2
DNM1L	BTBD2	TMEM126A
HIST1H2BD	ECSIT	LIMA1
RPL22L1	PIP4K2B	WWC1
HIATL1	TTC31	PPIB
KTN1	NHLRC3	NDUFA12
PLEKHG6	ACVR2B	LAMTOR4
CENPW	DERL3	FAM222B
XIAP	MAN1B1	RIF1
C20orf194	TNIP2	UVSSA
MAPKAPK2	TMEM115	LIMCH1
KIAA1324L	PRDX1	C19orf10
GUCA1A	DLG4	VPS37B
TCEA1	FAM76B	TTC39B
NTMT1	DUSP7	SAP30L
GID4	FASTKD2	ABRACL
AGA	AP3M1	FAM175A
PCMT1	ZSCAN5A	ZBTB14
JARID2	ZNF850	IPO7
CHTF18	SUPT5H	FUCA2
RPL6	LIG1	RNF165
TBC1D8	PAPOLG	DNPH1
SYT1	ZNF660	DPAGT1
ZNF695	SRRM1	KIAA1324L
PSEN1	TOMM22	GART
ZNF134	C10orf76	NCAPD3
ALAD	CYBA	FBXO48
HDAC1	ZNF771	CDC20
PTGFRN	ACER3	TOB1
PRKAA1	ARPC5L	COMMD10
NUF2	RHEB	SOAT1
SLC2A10	WDR20	AKTIP
GRTP1	S100A11	ZNF879
RFX7	ACAD9	SCOC
HSPA8	TIMM8B	TERF1
ZNF429	TNNC1	YPEL3
NHEJ1	ZKSCAN4	SET
LBH	ZNF428	SENP3
JAM2	ACOX3	EFHC1
GMNN	TANC2	GPAA1
RFXAP	ACTR6	MMP2
HIST1H2AE	TMEM180	C15orf61
MT2A	MPG	NCAM1
THAP6	RAB39B	CDKN3
CTXN1	AIG1	PSPC1
PIGO	CNN3	MICAL3
HNRNPAB	KIAA0247	EBLN2
DHRSX	ZNF146	LYPD6
ITPRIP	ZNF671	ALDH7A1
ZNF581	RTKN	TBC1D14
TOP1MT	CRIM1	ZYG11B
XPO6	GLI3	LAPTM4B
ZNF326	FBXO30	LIN7A
CASP6	TYK2	AMOTL2
PABPN1	BRI3	CA12
ARL6IP5	BCAM	ASTN1
RUVBL1	ADRA2C	MFSD1
BAI1	DYNC2LI1	STK32C
HMOX2	CNOT11	DERL1
HNRNPA2B1	KIRREL	UBE2M
C4orf21	PRRC2B	FAM3A
ARFGAP3	ZNF821	AJAP1
GYPC	DCP2	UBE2E1
RPL26	PIGT	SLC9A1
EXOC2	CENPT	RNASEH2A
RNF2	AGRN	TMEM41B
ECD	SERPINB9	HNRNPM
MICAL1	BEND4	RNF167
LIFR	IDH3B	PGM1
NFKBIZ	C1orf123	NDN
EDEM2	EIF2AK3	CLN8
CSNK1D	MAP3K1	AMZ2
PRPF6	ARL13B	SNRNP40
ELOVL7	IFITM3	FERMT2
TIPARP	CYC1	USP6NL
PRDX4	HN1	DUSP3
CHMP2A	GATAD2A	TERF2
RSRC2	COBL	FHL3
PPP1R3B	RASL12	SEPHS2
GID8	COL14A1	PDGFRL
DCAF17	SNX17	ZNF675
SOWAHC	TAF9	BRIX1
ZNF81	TM2D1	RBM4B
RSAD1	ZSCAN25	ZNF267
INIP	HRSP12	KIAA0040
CNPY2	GK5	DYRK2
RNF44	KIF5A	TRIM26
TIMP4	NEK7	KIAA0922
ATAD5	ALDH9A1	TWF2
SLFN12	KCTD13	SERTAD1
PPP1R11	NCOR2	DHRS7
ZNFX1	ZNF22	ZNF844
LRIG3	MIF4GD	RHEBL1
TBCE	PM20D2	IER3
B3GALTL	LCOR	ALDH18A1
LRRFIP1	RAP2B	ZNF528
PPP1R18	RAB3C	MED19
PRADC1	SPIN3	INPP5A
ZMYM2	PSMA7	HINT3
PLEKHG2	RNF144B	PAAF1
UBXN1	USP54	VAT1
ITGA2B	BACH1	WASL
PHKB	EFCAB14	SMEK1
CHD1	SRP9	GJC3
TCTA	RER1	CSNK1G3
RSF1	LAMC1	L1TD1
GNG2	LEPREL4	PEA15
NADK2	KIAA0922	TBC1D24
RPAP3	RQCD1	TCF4
SLC35A5	DGCR6	WBSCR17
CCBE1	GNG2	B3GNT7
MGAT2	ATAD2	KBTBD4
CLASP1	SLC25A43	TRAK2
SPATA33	FAM120B	CXorf23
EFCAB10	ATP5S	NCOA6
TMEM206	HIAT1	NDUFV1
TRAPPC3	PGAM4	MAD2L1
C12orf4	VKORC1L1	B4GALT3
CDC25B	KLHL15	NAA25
NANP	SLC35A2	PLEKHO2
DDX18	ATXN2	LRRC42
PEX2	DNAJA2	ZNF865
CTD-2192J16.22	CACHD1	ZNF75A
EIF4ENIF1	RAB7L1	ACPL2
IP6K1	GALE	CEBPZ
ZNF304	CTNNA2	DAK
SLC35C1	UNC45A	MAPKAPK3
STX10	LUC7L	ZNF691
XRN1	PKD1	IGDCC4
RASGRF2	DTX4	CACNA2D2
DGCR14	FAM193B	CNOT6
RAB5A	TGFBRAP1	DMKN
CRIM1	LRRC37A	TDRD3
AFAP1L1	BECN1	THBS2
UGDH	BTN2A1	TRIM59
METTL14	NDUFS3	WDR41
SMN2	TBC1D8	EMC8
CHD6	HIST1H2BL	GLA
GATM	THAP9	TNFAIP1
ZNF598	CRIPAK	FOXO3
CHID1	SAP30	DLG1
TXNL4A	RARS2	PCSK7
MRPL19	UBR3	CHAF1A
CBX6	CORO1B	TTC27
AASS	CD59	RAB38
ASTN2	PRPF19	ABCC1
RBBP5	RNF123	FAM127B
TTC32	ADAMTS10	ERCC6L
DUSP1	LIMK2	MLEC
FAM162A	USP38	MAP3K4
CDKL5	SUMO1	PARK7
PPP6R3	TACC1	GPBP1
GBE1	PCYT2	APBB1
ACVR2B	SPATA13	AC009403.2
MANF	CUL7	TMPO
BRE	CCDC39	DOPEY1
KIAA0922	KNTC1	SPG21
DMXL1	HLA-DOA	EPHB6
SEMA5A	GNAL	ZMAT4
FZR1	ETFDH	NMRK2
ACTR8	PARPBP	RPA3-AS1
UNC45A	PIGS	ATP5O
BMS1	SVIL	MSL1
RPS24	AFAP1L1	TRANK1
ETV6	UTY	SNURF
ALDOA	MURC	POM121C
SATB1	HMGN3	GLT8D1
AIP	SOX4	MRPS34
HUWE1	SLC4A8	SSR4
BRD3	TAF1	ZNF277
SRRD	WWC3	DYX1C1
H1FX	SRPR	COX18
RCAN3	CPSF1	ATP8A1
C1QBP	UBIAD1	TXNDC16
GRK6	TMX4	LPP
ZNF689	TCEA1	RNF114
PCYT1B	TUBB6	ERP29
ZIK1	ABHD11	SLA
FAM49A	CMTR1	GPR173
RABGEF1	RBM42	PSAT1
ACIN1	FSD1	APBA3
ASAH2B	KCNT2	NFE2L3
WBP5	ZFP82	MTMR14
COX7A2	SLC39A6	GPM6B
TMEM125	H2AFJ	SLC15A3
INADL	ACTR1A	PIP5K1B
GTF2IRD1	MBP	ASH1L
CCDC47	KLF8	C11orf49
HAGH	GTF2H2C	QARS
PSMB1	CDK5R1	KIF2C
GKAP1	FLRT2	PTPRG
TXNDC9	ZDHHC12	FAM175B
CRLS1	C19orf52	PGBD2
NEK1	PGGT1B	TRABD2A
IFNGR1	CA14	POM121
FCHO1	RPS4Y1	RNF11
NR6A1	RBAK-RBAKDN	C3orf17
LARP1	OSTM1	ANKRD49
PPIG	C2orf81	GARS
RPL26L1	CCDC82	EML5
ZNF273	SFT2D2	CDK17
ATG3	RNF26	UBR2
MACC1	FTSJ3	HLA-G
SLC2A1	GNPDA1	C10orf32
MT1E	PPP1R1B	OXCT1
TNKS	ZMIZ1	BTF3
SNX8	KPNA1	METTL22
C3orf17	KIAA1279	ZC3H11A
PBLD	ETF1	C3orf14
TP53I3	EZR	LDB1
DCPS	TOMM40	ZNF800
NXN	KIF7	DNTTIP2
SDE2	RRAS2	CXCL12
ALDH6A1	ZNF217	GNG12
UNC50	E4F1	DENND5B
HYOU1	HDAC6	HERC4
GALNT13	MED16	EIF3CL
INTS1	DHX36	KIAA1958
DIXDC1	PTBP1	UBL7
ZMYM4	SSB	MORC2
IREB2	C3orf17	CARM1
IGSF1	NKTR	RSL24D1
ZFP82	MAGEH1	ACTR3B
CAPN15	RAB10	IQCG
SLC25A30	HMGCS1	CTGF
STX17	AKAP11	HS6ST1
WFDC2	PPIP5K2	SLC25A4
CC2D2A	FIZ1	TCF12
SEC24A	MED24	SMDT1
RRAGD	HIST1H2BH	RNPC3
RGP1	CCDC127	DEF8
EMD	CHD4	PRKCDBP
CPD	SETD2	ERH
CCNT1	ZFP14	SLC25A46
FMNL2	ELAC1	PMM2
HIST1H4B	PDK3	TMEM231
MKL1	WDR47	NAB1
SPECC1	NDRG3	TIMM10B
EIF1AD	PRCC	ERCC2
C7orf60	MPV17L2	CUL7
TPD52	ZNF302	TTC26
SOX15	RUFY1	ACTR1A
DHRS13	GTF2H1	FBXO38
OGDH	CHMP2A	MAPRE1
DDA1	ALKBH5	SH3BP4
R3HDM1	EPHA7	POMT2
RBM18	C21orf91	ABL1
ZIC5	C19orf25	PIANP
RFC2	PPP2CB	FEM1C
LAMP2	PPP2R2D	TAC3
MYOZ3	TRPM3	ISYNA1
WBSCR16	NFE2L1	ALPK3
DUSP14	TWF1	ANKRD28
HIST2H2AA3	WSCD1	SRP9
N4BP1	ACN9	ARHGAP23
HNRNPA3	PRPF8	LCA5
RRAS	ZNF124	KLHL42
UGGT2	NDUFB6	PGBD5
ZNF860	DISP1	NAV1
PDGFD	DBNL	EXTL3
B3GALT6	CACNG8	HNRNPK
DCTD	BICD2	NOL11
ZNF534	TUBA4A	SHF
MBD4	ZHX2	SETD4
TIMM10	RBM12	WFDC2
TAC3	PTPN14	GAB1
UBR2	EIF3M	TMEM108
ZFP36L2	ST7	MTF1
FBXO25	UHRF1BP1	ACYP1
FBXO21	ZNF354A	ZNF484
CRABP2	MAP2K2	SDAD1
ZBTB39	CPXM1	RBL1
FGFBP3	GALNT7	STAP2
ARHGAP35	GLS	CIAPIN1
ANXA5	FAM49B	SNX9
TMEM167A	CCS	UBFD1
PSMA5	B3GNT7	DHFRL1
TATDN2	OST4	CTSA
TMEM259	BOLA1	SS18
NUP155	RBM33	C1R
UGT8	TXNL4A	GRK6
DNAH14	BCAP29	IFFO1
COA5	ERBB2IP	ANGEL2
TBCK	RAB18	VASH1
TBC1D22A	LDOC1L	ABCA7
EPS15	RPP14	ARPC2
RPL13	HIST1H3H	INIP
HDGFRP2	BTG1	MAPK12
TGOLN2	TTLL4	SUN1
RANBP3	ZDHHC17	TOPBP1
ZNF844	NAA15	ECT2
VCAN	NET1	CCDC71L
IARS	FBXW8	TM9SF4
MAPKAP1	EMC9	TBC1D4
SEMA7A	TNFSF11	KLF11
CRISPLD2	BBS4	SLC20A1
RAP2A	ZNF141	YWHAE
EIF2B2	ZXDB	SMARCA2
GTF3C1	CHTF18	CLCN6
SPAG9	DVL3	CCZ1B
CTSV	C10orf82	RPA3
PPP1CA	FAM222B	BRWD3
EFTUD1	STXBP4	MTHFD1
USE1	SEMA3A	MPDZ
LCA5	AHCY	RICTOR
ZNF148	SMIM4	SNAPC3
SPOPL	DEPDC7	PPL
LRRC40	FAM64A	SS18L1
VPS45	MYO5A	RBM48
SAE1	ZNF281	TCAIM
SPNS1	C19orf70	LMAN2
ZNF592	SLFN13	RNF217
GPRIN2	DDHD2	AP3S1
LAS1L	MEX3A	SNN
CCDC6	DHODH	GAREML
TTC9	CDC14A	H2AFV
CRIP3	LMCD1	ADCY3
CECR2	FHL2	TRIQK
KCTD7	SSBP4	VPS13D
METTL1	EPOR	APOE
SLC2A3	CAPRIN1	APOPT1
BRAP	B3GALT5	IFITM2
MPP2	MCM3	IVNS1ABP
EBAG9	AIF1	CDC42EP3
PPTC7	MECP2	LRIG1
NCOR1	TMEM256	POC5
SPINT1	ABCA5	IBA57
LYPD6	SAR1A	GNB1L
PPFIBP1	LTN1	SH3GL2
LTBP4	ZNF175	ZBTB7A
ADAMTS20	GTF2A2	BLZF1
OBSCN	DCHS1	ASB7
FAM196A	NUDC	MXD4
LOH12CR1	PLCL2	RDH14
INTS9	POM121	ZNF549
CD3EAP	PTPN13	TXNDC12
CCNJ	DHX15	C1GALT1C1
SCRN1	KPNA2	CYHR1
RAB31	SH3D19	SMPD4
RBAK	HSD17B4	ZNF66
MAP2K3	ATG14	TMEM259
VDAC3	BPTF	TGIF1
DAGLB	ASB1	CELSR1
TSC1	PIK3R3	ZNF397
FAM101B	LAMP1	ZFP82
FAM156B	BEX5	PCYOX1L
SPRY2	SHKBP1	CWC25
LMO7	NBPF14	ABHD17C
GTF2H1	CDK6	TOP2A
HECTD3	FAM83G	MAF1
RBL2	BOLA3	PRSS16
WASF2	PSRC1	ARHGEF12
DET1	FN1	KRAS
TRPS1	PIGV	NRSN2
RPS13	TMED9	LRRC2
FNBP1L	SF3B3	ZCCHC8
ZNF585A	ZNF335	TRAIP
MARVELD3	LETM1	ZNHIT6
DCAF8	SNX1	DHX40
ANKRD11	RPS6KA4	ARHGEF5
ACY1	ASPH	RAB8B
PAAF1	C5orf45	SHANK3
PHPT1	GNG12	SRGAP1
MMP15	PPIL3	LOH12CR1
KIAA0195	FAM175A	ZRSR2
PI4KA	CCDC74A	TTLL1
NUBPL	SPTLC1	PPIH
WRAP73	MYL12B	RECQL5
SRRM3	NDFIP2	CLYBL
ARSJ	TCOF1	RBFOX2
WBP4	RPL35A	COX7A2
TRAF3	BCAR1	SLC27A4
ZBTB26	TMCO3	LRRC37A2
POLD4	B3GNTL1	C7orf50
METAP1	DIAPH3	MRTO4
ZNF287	NUP188	PGAM1
CRISPLD1	GNAI1	CDH24
ZNF551	PCBP2	ETV6
SYT14	ZXDC	LARS2
ZCCHC2	BTBD7	LPIN2
METTL25	FDPS	PAPD5
ARL17A	FAM198A	TOX
C12orf60	GTF2H5	MFSD10
NANS	UFC1	ZNF418
CNTN1	CD209	ZFP42
EFNB3	TMEM64	CDC42SE1
SLC25A40	CCDC142	CDC73
ASB8	CYP2S1	KIAA1109
CHPF2	MAML3	GON4L
NAP1L4	SMG6	PXMP2
FAR1	TPCN2	C12orf60
NBPF3	DNALI1	PDCD2
UCHL5	CRNKL1	RP9
CD200	HNRNPR	LRRC37A
SCAF1	WDR60	GMFB
PGM3	SMIM14	ZFAND6
PNPT1	RRP36	SPICE1
ZNF674	CPNE1	CEP135
RPL28	SAMD12	SLBP
EIF5AL1	FLCN	CAB39
MPZ	FKBP5	SNRNP48
RTCA	SOCS3	PSMB3
FKTN	PPM1K	ROCK1
LRCH1	ARMC1	BASP1
CDCA5	DBF4B	B3GNT1
C19orf33	BMPR2	WDR4
RBM7	EFNA5	MCCC2
KDM2A	CTU1	POLRMT
ANKRD34B	DPH2	PHF23
SRR	MED23	DCAF6
DOCK11	LRP6	FAM208B
CCDC137	MOGS	FAT3
TCEB1	ABCE1	GNPDA1
WDR33	CHIC2	ALKBH1
SERAC1	UBAP2L	CREBRF
ZFP91	CLDND1	ATP13A3
SPCS1	RTF1	SPOCK1
UPRT	ARHGAP44	IRAK1BP1
SLC27A5	GALNT11	DIAPH1
FASTKD3	RPS15A	EIF3L
MOCS2	RSBN1L	PTPN9
SRSF5	COQ9	CNIH1
ZBTB9	SPRYD7	AURKAIP1
YTHDF2	PRDM14	LIG3
C19orf40	PRPS2	ACOT7
MKL2	FLII	RUNX1T1
UBE2G1	DNAJC3	RPL18A
CEBPZ	AAGAB	DAPK3
ZNF449	RBP1	KCNK5
EEF1D	CHUK	ESPL1
RIMS2	ATG16L2	CEP44
PTPN13	FAM105A	ZNF75D
PSMC4	MXI1	POLR3H
FAM214B	ATP6V0D1	OXR1
C1orf27	C17orf62	BDP1
STIL	HSD17B10	SEH1L
SH2D4A	HNRNPD	E4F1
DCTN4	MND1	TRAF4
IGFBP3	FAM107B	ZFAND2B
EPN1	PALB2	LDLRAD3
SSBP1	HCFC1	DNMBP
GTPBP8	PES1	TSPAN2
ALDH1B1	CNKSR3	SKP1
KATNB1	TLK2	ERI2
ZNF384	VAPA	LZTS3
ZNF415	SPEN	CD200
TMEM208	TTC39C	UCHL1
TAF1	NUP107	SPTSSB
FLOT2	AGL	WDR1
GNG3	SCAPER	CEBPB
H3F3A	MMADHC	MTG1
MPLKIP	MRGPRF	PDSS2
EXT2	CCNB2	SNX12
CALM2	KLHL18	PRRT3
HAUS5	NINJ1	LGALS3BP
DSN1	MELK	FRG1
NUBP2	WDR7	DFFA
WDR59	B3GALT6	MRPL13
NME6	BPNT1	CR2
COPA	CWC25	FAM53C
MTO1	MAN2C1	HEATR5A
CAPN7	SF3A1	SH3GL3
NDUFS6	DDX39A	GDPD1
AMY2B	FAM220A	PACSIN2
NPC2	MBD1	SLC29A3
C9orf135	PEF1	ADAMTS16
ASAH1	RRAS	ORAI1
SOS2	SCAND1	TUBA4A
MYO10	BCL6	ALG3
DSTN	LMLN	CREM
PSTK	ERICH1	CNKSR3
ACTL6A	AKAP13	CEP290
FAM217B	HEY2	ZNF618
CCND3	SKI	PLAGL2
LDLR	JADE2	PSMD7
STK17A	EPN1	TATDN3
USP16	PAK1	POU3F1
TAB1	NARFL	GEN1
PCBD1	RAD17	LMTK2
PAM	TSPAN3	PRDM14
GRIA4	CAST	SOCS3
TSPAN9	MSH3	XRN1
NF2	EMP2	LYRM1
FGF2	SLC7A6	PCDH18
ERH	MRPS35	CD58
CCDC82	WDR26	COL4A3BP
KIDINS220	TBL1X	NUBP2
PLCB4	ENPP4	SLC39A1
CEP104	BAG6	LEPREL1
SNX25	SLC39A7	KANK2
SH3GL3	GTF2H3	DAP
NME3	ZBTB43	DOT1L
DOPEY1	INTS9	CHURC1
UNC119	NIP7	SYT17
DPH6	ABHD3	CLK1
RANBP17	ATMIN	WBSCR16
WIF1	THAP8	SOGA1
ABHD3	LPP	DZANK1
MRP63	WDR48	PARG
GPX7	SLC44A2	CTC1
NFS1	PRMT5	TRPC1
ZNF468	TJP2	SSBP2
POLE	TFPI2	PNPLA8
E2F1	MYO1B	FAAH
HFM1	SLC36A1	SPINT2
PFKM	CAPNS1	MRGPRF
TMEM169	GOLGA1	WBP11
RBM3	CDK5RAP1	SLC39A11
GNG11	ZFHX3	PDZRN3
C9orf91	SCN5A	KLKB1
NUDT5	RECQL	TST
TRIM8	CUL1	SRPR
C17orf51	TBCK	CAMTA1
KHDRBS1	NGDN	FHL1
TSPAN3	MRPL49	IL6ST
POP4	KLHL5	BBS9
MDC1	TMEM243	NFS1
NIT1	TUBE1	GIT2
TOMM5	TP53BP2	ZNF133
SPATA20	SPTY2D1	MNT
FOXD3	LRRC6	KAZN
FAM3C	TMSB4X	DIABLO
DCAF15	FUT1	COQ10A
ZNF593	IFT27	NSDHL
DYNC1I2	PNPLA3	RTKN
ZNF730	CDC123	C9orf142
DCTN5	GPM6A	RPS12
KCNT2	DDAH2	NCBP1
FBXO36	ANKRD13A	BRF1
CTTNBP2NL	CLIC1	ZBTB41
LDOC1L	PSEN1	PAM
HAX1	ZNF783	FANCD2
EFNB1	LINC00998	PFKFB4
MMP19	PWP1	MEPCE
MAF1	NMT1	BRD2
FN1	FAM208A	INSR
RBFOX3	PMPCA	UBE2K
MLST8	GIGYF1	DCTPP1
PARVB	DIAPH2	ZNF493
DDX55	COQ10A	MAEA
CCDC150	TRIM2	METTL12
ZRSR2	COL9A3	ANKRD54
UGT3A2	PER1	PTPN12
AGAP6	ENHO	ANAPC15
EI24	GCC2	ARPC4
PPIC	PRKAR2B	MTG2
NCAPH	PRMT1	PRKRA
CMBL	STOM	PPP1R14A
ZDHHC6	GUF1	DPM3
C1orf172	EXTL2	SMAD4
MTMR12	TNKS	BACH1
FOXH1	PIGC	RPS18
IPO13	EIF4ENIF1	MOV10
ITGA5	RAB13	MGMT
PIP5K1C	F8A3	DCTN6
UBE3A	EFCAB2	ACTL6B
GIGYF1	NEK2	PITPNA
PA2G4	MRPL46	SLX4IP
GM2A	PIPOX	DTNA
FAM96B	FBXW7	RPS6KL1
SNX11	TRA2A	USP12
ZC3H8	EARS2	CCDC93
RABGAP1L	C21orf59	RBM15
FKBP5	AARSD1	CDCA3
PRRG3	KCTD9	LRIG3
PARD6A	SYT1	STX2
NQO1	PSPC1	STIM2
NIFK	HMGN5	TENM4
PPP1R14A	CLU	EHMT1
INF2	TBCB	C19orf53
CHORDC1	LRRC2	FARS2
SPIN4	RAB2A	MCPH1
SYT2	GLI1	PRR4
CAMK2N1	CEBPZ	RERE
RFFL	PSMA4	ARHGAP26
RB1CC1	SKIV2L	SATB1
GFPT1	HERC5	PNRC2
CDH1	PCYT1A	PPAPDC1B
PDCL3	FNDC4	NFYA
CDK17	S100A13	CACNB4
WDR60	FAM114A1	DPY19L4
VPS26A	THEM4	C19orf68
CDCA7	RFK	C2orf68
C9orf114	MRPL42	OGFRL1
JPH1	PTRHD1	SYNGR3
FUT8	INPP4A	POLE3
MTMR4	CCNK	TOX3
MBNL1	EIF5A2	C9orf114
ARHGAP42	STX4	MKRN2
CD99	NFYC	SEPW1
AL138764.1	DNAJA3	RPS29
SYAP1	FAM69A	NOC4L
FANCB	STAT3	ETV3
MZT1	E2F5	SLC7A7
PAIP2	CHD8	RBM14
THY1	FAM178A	NLGN4X
KHDRBS3	KDM1A	EXT2
NHS	RNF34	ZC3H7B
SRP68	PDK1	MATR3
CCDC132	SMNDC1	PPME1
CTGF	PPL	GTPBP10
AAMP	PACSIN3	FAM200B
METRN	TMEM106C	SEMA6C
TCF15	KNOP1	USP54
CHEK1	CLK4	PJA1
ACAT2	STARD7	TMEM9B
APOO	ADAMTS1	TRIP4
RASA2	SCGB3A2	SLFN13
RAB11A	KLC2	LYPLA1
CCDC90B	PLXND1	LSM6
HDDC2	COPS6	DRG1
ZNF121	ZFP1	TUSC3
ZBTB33	HIST1H4H	ZDHHC9
NPAT	PROSC	MBTPS1
GNPDA2	RAD18	ZNF652
ARHGEF11	PPP3R1	TRA2A
HSD17B11	ARF4	PFKFB2
LAMB1	GSKIP	TBC1D15
EDEM1	LSM14B	NKIRAS1
SOAT1	PARP4	ZNF692
CNKSR3	TRAPPC13	SIN3A
MRPL32	HTRA1	RAD18
AURKAIP1	UBE3D	PCMTD2
ELP6	GTF2E1	PTPRZ1
B3GNT7	GRK6	LZIC
TMEM183A	FSCN1	TP53BP2
NOL10	KIF3B	RAC1
KIAA0247	VWDE	TCEAL4
TPT1	MRPL51	CNNM3
HHLA3	P4HB	L3MBTL2
SLC39A8	FRG1	FAM173B
VAPB	LSMD1	GMDS
RNF217	HTR3A	SRD5A1
MRPS34	FAM91A1	CTNND1
INHBE	ZCCHC8	DHX57
CEP350	THADA	ARF5
ZNF320	KIAA1524	LITAF
GLS2	ZIC5	IMPDH1
C10orf35	DDX55	BRWD1
LRP4	ZNF618	GRB14
DCAF16	KIF18A	MFSD2B
CREG1	ZNF544	JAK1
RTN4R	ZNRF3	RRS1
FAM220A	UBTF	JADE3
ARHGAP21	TMEM134	HAT1
TBK1	ITGA2B	GALM
HS6ST2	SPRY1	AC027763.2
HMGN5	NPM3	PPP3CB
RORB	ZNF567	ZNF385D
ERC2	KMT2E	PRUNE2
CBWD2	AK3	MED13
USP36	MLYCD	MAP7D1
AFG3L2	UBC	TMEM51
PTRHD1	CXCL6	SCAND3
DENND4C	PTPN1	FAM105B
NDUFS2	AASDH	EXTL2
ARHGEF10L	MEF2BNB	SFI1
TRIM4	FCGRT	TTL
ZMYND8	THEMIS2	SCUBE1
WIPF1	EVL	RCC2
CIRH1A	FBXO5	EPB41L1
EIF3M	BORA	DDRGK1
GDPD2	MGAT5	POMZP3
ARID4B	ANKRD36	C5orf15
MED7	MRPS7	RAB35
BTG1	DCAF5	NLGN4Y
TGFBR3	GCAT	IRX2
RFC3	INTS10	FAM64A
APPL2	TVP23C	SEC14L1
DNAJC10	RHBDF1	THAP3
CLN8	HIBADH	TSPAN15
DHX8	TRAPPC3	BOK
PHF23	PDE4DIP	FBLIM1
MIPOL1	TSPAN15	PYCRL
GRM4	DCTN6	SHISA5
CXCL6	CDC37L1	CISD2
CTC-479C5.12	OXTR	IFNAR2
TRMT10B	CCNG2	MAP3K9
EGFL7	TTC14	ITSN2
XPA	GRM4	NECAP1
SHPRH	DENND1A	CCDC8
BAK1	PBX2	AGBL3
CWC25	UBE2D3	CRBN
RDH14	STXBP1	TPM3
RAB7A	SCAND3	NUBP1
UCHL1	UBE2I	ATE1
RAB35	ARHGEF7	BTBD3
SENP7	ZNF385D	BST2
MTHFD1	GSTM3	GAREM
TUBD1	STYXL1	EFNA3
DHX40	TCF4	STEAP1B
SDCBP	MBNL1	PDZD8
FAM213B	LATS2	FASTK
SNRPB2	SLC25A40	EIF4E3
FOXN3	RAB4A	TMEM168
MAGI2	CECR5	PPP1R12C
