NA19098	NA19101	NA19239
EIF2S3	SUV420H2	ADIPOR2
OCEL1	C16orf52	ZNF783
SMAD7	MDK	TRIM6
YWHAG	DLGAP1	LFNG
NANOG	FASTKD3	MSH6
BOK	KRT18	UQCR11
CPNE3	TEX14	AGRN
LCOR	FOXP1	CSNK1A1L
MIIP	LRRC55	ZNF444
NR1H2	ITFG2	KLHL28
MPZL1	PPM1J	ECSIT
SLC22A17	ISG15	ZRANB3
PTPN4	XPOT	C11orf82
FABP6	CAMKV	TMEM104
ZNF414	DGKE	HSPE1
SORBS3	ZFP37	BLOC1S1
DRAXIN	NDEL1	FOXJ3
SPATS2	SPIRE1	FAM46B
LSM11	HSPA2	TMEM205
CLN6	ATP5L2	PKIA
ITPA	C3orf33	RBBP4
MYL12B	HMBS	FRG1B
THBS2	MARCH6	SRSF5
TRIM25	FOXRED2	ZNF140
SHOC2	SSBP1	VEGFB
HOMER2	KIAA1731	XPO4
PSMA6	TMEM246	ATP13A2
PROSC	DDX50	SLC7A8
ITGB1BP1	SLC1A1	PSEN1
SERPING1	ACAT1	FBXO46
UBE2E1	FLYWCH2	ANO8
SNX27	TRMT6	MGST1
C14orf166	WWP2	SPRED2
C8orf58	MTX2	SVIL
GLOD4	C11orf68	MTRNR2L10
PARD3	INF2	GLB1L3
SFMBT2	GPR161	STC2
GTPBP6	KIAA1324L	CTTNBP2NL
RPS3	NCBP2	COG8
ABL1	TRAM1	GRHL2
C10orf32	CLDN6	ANXA2
APH1B	C7orf26	NRBF2
TECPR2	MRPS18C	RAD51
RAB3GAP2	SPAST	GSN
PSMB3	ZNF775	SV2A
SUGP1	GEMIN5	RNF4
PHC3	EPB41L2	SREBF1
TXNL4B	TASP1	USP37
THEMIS2	WDR43	BNIP3
APMAP	LIMA1	C2orf43
HIST1H2AC	KCNN2	FAM159B
UQCC2	A1BG	RFNG
SEMA6B	MRPL55	NAF1
DYNLRB1	MAGEF1	PARVB
ID4	CCNE2	SRR
MAP1B	IKZF5	TP53BP1
TAF5L	NAALAD2	PPP3CA
ATAD1	ZNF212	DDX19A
KCNAB1	PEX13	NRBP2
C20orf24	CTD-3193O13.9	THOC1
CALCOCO2	RAB3IP	CCDC74A
ACRV1	ARFGAP1	SLC16A2
TBCA	KCNS3	LMAN1
ALG1	PDCL3	ZNF33A
ARMC6	SIAH1	PPM1F
SLC25A6	ZKSCAN1	IQGAP3
UTP20	TMEM258	SUMF2
FAM105B	CITED2	EFNB1
DDX49	SLC35E3	SEPT8
VPS8	VPS53	UBA5
PAN3	PCNX	ZNF286A
TFAP4	ZBTB48	NOTCH3
PSMD10	FBXL6	DEK
RERE	VPS4B	PMM1
VDAC1	SPATS2	SUCLA2
GNL3L	CSRNP2	MAD2L2
SLC26A2	SRSF1	PQBP1
MED21	HAGHL	GPR64
PVRL2	ABAT	FARSB
SUMF1	NGRN	KCTD9
C1orf226	CHRNB1	ZNF154
C9orf16	RBM8A	STX8
STK40	RING1	CUX1
PTGIS	HERC1	METAP1D
PLEKHA1	DPY30	CBX3
EXOC8	MIA3	COPB2
